Running Process Information
================================================================================
PROCESS NAME                   PID        USERNAME
================================================================================
System Idle Process            0          NT AUTHORITY\SYSTEM
System                         4          NT AUTHORITY\SYSTEM
N/A                            108        N/A
Registry                       148        N/A
smss.exe                       604        N/A
services.exe                   620        N/A
svchost.exe                    880        DESKTOP-06GI0AT\admin
csrss.exe                      900        N/A
wininit.exe                    984        N/A
LsaIso.exe                     1044       N/A
lsass.exe                      1060       N/A
svchost.exe                    1156       DESKTOP-06GI0AT\admin
svchost.exe                    1220       N/A
fontdrvhost.exe                1248       N/A
WUDFHost.exe                   1300       N/A
svchost.exe                    1388       N/A
svchost.exe                    1448       N/A
WUDFHost.exe                   1468       N/A
ctfmon.exe                     1540       DESKTOP-06GI0AT\admin
svchost.exe                    1580       N/A
svchost.exe                    1588       N/A
svchost.exe                    1592       N/A
svchost.exe                    1604       N/A
svchost.exe                    1696       N/A
svchost.exe                    1708       N/A
svchost.exe                    1716       N/A
Code.exe                       1736       DESKTOP-06GI0AT\admin
svchost.exe                    1808       N/A
WidgetService.exe              1868       DESKTOP-06GI0AT\admin
svchost.exe                    1888       N/A
svchost.exe                    1952       N/A
svchost.exe                    1972       N/A
svchost.exe                    2012       N/A
WUDFHost.exe                   2112       N/A
svchost.exe                    2232       N/A
svchost.exe                    2256       N/A
csrss.exe                      2388       N/A
svchost.exe                    2400       N/A
Widgets.exe                    2552       DESKTOP-06GI0AT\admin
chrome.exe                     2632       DESKTOP-06GI0AT\admin
MemCompression                 2644       N/A
bcmUshUpgradeService.exe       2708       N/A
svchost.exe                    2740       N/A
svchost.exe                    2772       N/A
svchost.exe                    2824       N/A
svchost.exe                    2832       N/A
svchost.exe                    2876       N/A
chrome.exe                     2980       DESKTOP-06GI0AT\admin
svchost.exe                    2984       N/A
unsecapp.exe                   3000       N/A
svchost.exe                    3012       N/A
svchost.exe                    3020       N/A
svchost.exe                    3032       N/A
svchost.exe                    3100       N/A
svchost.exe                    3128       N/A
FileSyncHelper.exe             3164       N/A
svchost.exe                    3180       N/A
igfxCUIService.exe             3212       N/A
msedge.exe                     3272       DESKTOP-06GI0AT\admin
svchost.exe                    3276       N/A
svchost.exe                    3288       N/A
svchost.exe                    3300       N/A
SecurityHealthSystray.exe      3476       DESKTOP-06GI0AT\admin
igfxEM.exe                     3488       DESKTOP-06GI0AT\admin
svchost.exe                    3528       N/A
svchost.exe                    3544       N/A
chrome.exe                     3600       DESKTOP-06GI0AT\admin
svchost.exe                    3776       N/A
chrome.exe                     3820       DESKTOP-06GI0AT\admin
chrome.exe                     3896       DESKTOP-06GI0AT\admin
Code.exe                       3908       DESKTOP-06GI0AT\admin
svchost.exe                    3940       N/A
svchost.exe                    3992       N/A
msedgewebview2.exe             4068       DESKTOP-06GI0AT\admin
svchost.exe                    4120       N/A
svchost.exe                    4148       N/A
svchost.exe                    4240       N/A
msedgewebview2.exe             4328       DESKTOP-06GI0AT\admin
svchost.exe                    4352       N/A
powershell.exe                 4368       DESKTOP-06GI0AT\admin
svchost.exe                    4388       N/A
chrome.exe                     4412       DESKTOP-06GI0AT\admin
svchost.exe                    4432       N/A
svchost.exe                    4476       N/A
Code.exe                       4552       DESKTOP-06GI0AT\admin
svchost.exe                    4624       N/A
msedge.exe                     4640       DESKTOP-06GI0AT\admin
svchost.exe                    4708       N/A
RuntimeBroker.exe              4736       DESKTOP-06GI0AT\admin
OpenConsole.exe                4780       DESKTOP-06GI0AT\admin
spoolsv.exe                    4836       N/A
msedge.exe                     4852       DESKTOP-06GI0AT\admin
bcmHostStorageService.exe      4872       N/A
wlanext.exe                    5008       N/A
conhost.exe                    5096       N/A
DellFFDPWmiService.exe         5152       N/A
IntelCpHDCPSvc.exe             5160       N/A
OneApp.IGCC.WinService.exe     5176       N/A
svchost.exe                    5184       N/A
IntelCpHeciSvc.exe             5192       N/A
HidMonitorSvc.exe              5200       N/A
svchost.exe                    5212       N/A
OfficeClickToRun.exe           5236       N/A
svchost.exe                    5316       N/A
IntelAudioService.exe          5324       N/A
svchost.exe                    5332       N/A
jhi_service.exe                5336       N/A
Code.exe                       5380       DESKTOP-06GI0AT\admin
RstMwService.exe               5436       N/A
MpDefenderCoreService.exe      5448       N/A
Code.exe                       5476       DESKTOP-06GI0AT\admin
RtkAudUService64.exe           5492       N/A
ThunderboltService.exe         5516       N/A
msedgewebview2.exe             5532       DESKTOP-06GI0AT\admin
RuntimeBroker.exe              5560       DESKTOP-06GI0AT\admin
ApplicationFrameHost.exe       5576       DESKTOP-06GI0AT\admin
TbtP2pShortcutService.exe      5584       N/A
svchost.exe                    5592       N/A
WavesSysSvc64.exe              5620       N/A
svchost.exe                    5648       N/A
MsMpEng.exe                    5664       N/A
Code.exe                       5676       DESKTOP-06GI0AT\admin
svchost.exe                    5684       N/A
WMIRegistrationService.exe     5712       N/A
svchost.exe                    5780       N/A
MoUsoCoreWorker.exe            5844       N/A
chrome.exe                     5868       DESKTOP-06GI0AT\admin
esif_uf.exe                    6132       N/A
winlogon.exe                   6296       N/A
svchost.exe                    6576       DESKTOP-06GI0AT\admin
taskhostw.exe                  6616       DESKTOP-06GI0AT\admin
svchost.exe                    6808       N/A
svchost.exe                    6876       N/A
LockApp.exe                    6972       DESKTOP-06GI0AT\admin
msedgewebview2.exe             7112       DESKTOP-06GI0AT\admin
AggregatorHost.exe             7300       N/A
Code.exe                       7360       DESKTOP-06GI0AT\admin
pet.exe                        7364       DESKTOP-06GI0AT\admin
svchost.exe                    7388       N/A
ApMsgFwd.exe                   7492       DESKTOP-06GI0AT\admin
svchost.exe                    7532       N/A
svchost.exe                    7648       N/A
ShellExperienceHost.exe        7748       DESKTOP-06GI0AT\admin
elevation_service.exe          7916       N/A
chrome.exe                     8024       DESKTOP-06GI0AT\admin
svchost.exe                    8036       N/A
Code.exe                       8044       DESKTOP-06GI0AT\admin
OneDrive.exe                   8056       DESKTOP-06GI0AT\admin
svchost.exe                    8060       N/A
svchost.exe                    8160       N/A
msedgewebview2.exe             8288       DESKTOP-06GI0AT\admin
conhost.exe                    8452       DESKTOP-06GI0AT\admin
RtkAudUService64.exe           8484       DESKTOP-06GI0AT\admin
powershell.exe                 8672       DESKTOP-06GI0AT\admin
svchost.exe                    8768       N/A
NisSrv.exe                     8904       N/A
chrome.exe                     9012       DESKTOP-06GI0AT\admin
RuntimeBroker.exe              9272       DESKTOP-06GI0AT\admin
SearchHost.exe                 9324       DESKTOP-06GI0AT\admin
chrome.exe                     9400       DESKTOP-06GI0AT\admin
msedgewebview2.exe             9504       DESKTOP-06GI0AT\admin
ApRemote.exe                   9520       DESKTOP-06GI0AT\admin
fontdrvhost.exe                9548       N/A
WmiPrvSE.exe                   10104      N/A
msedgewebview2.exe             10160      DESKTOP-06GI0AT\admin
svchost.exe                    10312      N/A
dwm.exe                        10448      N/A
svchost.exe                    10472      N/A
msedgewebview2.exe             10500      DESKTOP-06GI0AT\admin
SystemSettingsBroker.exe       10560      DESKTOP-06GI0AT\admin
chrome.exe                     10572      DESKTOP-06GI0AT\admin
SecurityHealthService.exe      10676      N/A
RtkAudUService64.exe           10776      N/A
SearchIndexer.exe              11112      N/A
unsecapp.exe                   11180      DESKTOP-06GI0AT\admin
svchost.exe                    11324      N/A
ApntEx.exe                     11456      DESKTOP-06GI0AT\admin
svchost.exe                    11484      DESKTOP-06GI0AT\admin
svchost.exe                    11532      N/A
RuntimeBroker.exe              11580      DESKTOP-06GI0AT\admin
svchost.exe                    11608      N/A
svchost.exe                    11680      DESKTOP-06GI0AT\admin
Code.exe                       11716      DESKTOP-06GI0AT\admin
msedgewebview2.exe             11728      DESKTOP-06GI0AT\admin
chrome.exe                     11828      DESKTOP-06GI0AT\admin
svchost.exe                    11916      N/A
svchost.exe                    12468      N/A
WavesSvc64.exe                 12628      DESKTOP-06GI0AT\admin
conhost.exe                    12780      DESKTOP-06GI0AT\admin
LocationNotificationWindows.ex 13012      DESKTOP-06GI0AT\admin
svchost.exe                    13128      N/A
msedge.exe                     13140      DESKTOP-06GI0AT\admin
msedgewebview2.exe             13152      DESKTOP-06GI0AT\admin
hidfind.exe                    13264      DESKTOP-06GI0AT\admin
SystemSettings.exe             13344      DESKTOP-06GI0AT\admin
svchost.exe                    13376      N/A
Apoint.exe                     13692      DESKTOP-06GI0AT\admin
svchost.exe                    13768      N/A
svchost.exe                    13916      N/A
chrome.exe                     13924      DESKTOP-06GI0AT\admin
RuntimeBroker.exe              13948      DESKTOP-06GI0AT\admin
svchost.exe                    13968      N/A
python.exe                     14284      DESKTOP-06GI0AT\admin
Code.exe                       14444      DESKTOP-06GI0AT\admin
msedgewebview2.exe             14528      DESKTOP-06GI0AT\admin
CrossDeviceService.exe         14672      DESKTOP-06GI0AT\admin
chrome.exe                     15256      DESKTOP-06GI0AT\admin
TrustedInstaller.exe           15280      N/A
M365Copilot.exe                15356      DESKTOP-06GI0AT\admin
explorer.exe                   15568      DESKTOP-06GI0AT\admin
OpenConsole.exe                15588      DESKTOP-06GI0AT\admin
svchost.exe                    15596      DESKTOP-06GI0AT\admin
msedgewebview2.exe             15940      DESKTOP-06GI0AT\admin
svchost.exe                    16148      N/A
Code.exe                       16168      DESKTOP-06GI0AT\admin
sihost.exe                     16324      DESKTOP-06GI0AT\admin
svchost.exe                    16468      DESKTOP-06GI0AT\admin
UserOOBEBroker.exe             16708      DESKTOP-06GI0AT\admin
chrome.exe                     16868      DESKTOP-06GI0AT\admin
RuntimeBroker.exe              16984      DESKTOP-06GI0AT\admin
svchost.exe                    16992      DESKTOP-06GI0AT\admin
StartMenuExperienceHost.exe    17028      DESKTOP-06GI0AT\admin
Code.exe                       17376      DESKTOP-06GI0AT\admin
msedge.exe                     17880      DESKTOP-06GI0AT\admin
dllhost.exe                    17960      DESKTOP-06GI0AT\admin
svchost.exe                    18064      N/A
chrome.exe                     18136      DESKTOP-06GI0AT\admin
